Timestamp,Process Temp SP,Process Temp,QualSteam Valve Opening,Inlet Steam Pressure,Outlet Steam Pressure,Pressure SP
2025-11-24 10:53:50,60,64.4,14.0,3.7,0.2,2.5
2025-11-24 10:54:50,60,64.5,16.8,3.3,0.2,2.5
2025-11-24 10:55:50,60,64.6,12.8,3.0,0.1,2.5
2025-11-24 10:56:50,60,64.8,12.5,2.9,0.1,2.5
2025-11-24 10:57:50,60,64.9,7.7,2.7,0.1,2.5
2025-11-24 10:58:50,60,65.0,8.1,2.6,0.1,2.5
2025-11-24 10:59:50,60,65.0,6.5,2.4,0.1,2.5
2025-11-24 11:00:50,60,64.9,7.0,2.3,0.1,2.5
2025-11-24 11:01:50,60,64.8,7.3,2.2,0.1,2.5
2025-11-24 11:02:50,60,64.7,9.2,2.1,0.1,2.5
2025-11-24 11:03:50,60,64.6,10.0,2.1,0.1,2.5
2025-11-24 11:04:50,60,64.5,12.5,2.0,0.2,2.5
2025-11-24 11:05:50,60,64.7,10.7,1.9,0.1,2.5
2025-11-24 11:06:50,60,64.7,10.2,1.9,0.2,2.5
2025-11-24 11:07:50,60,64.9,8.2,1.8,0.1,2.5
2025-11-24 11:08:50,60,64.8,9.5,1.8,0.1,2.5
2025-11-24 11:09:50,60,64.9,9.2,1.8,0.1,2.5
2025-11-24 11:10:50,60,64.8,9.1,1.8,0.1,2.5
2025-11-24 11:11:50,60,64.9,8.3,1.8,0.1,2.5
2025-11-24 11:12:50,60,64.7,8.5,1.8,0.1,2.5
2025-11-24 11:13:50,60,64.9,8.0,1.8,0.1,2.5
2025-11-24 11:14:50,60,64.8,11.6,1.8,0.1,2.5
2025-11-24 11:15:50,60,64.5,11.5,1.8,0.1,2.5
2025-11-24 11:16:50,60,64.7,11.7,1.8,0.1,2.5
2025-11-24 11:17:50,60,64.8,11.5,1.8,0.1,2.5
2025-11-24 11:18:50,60,64.6,14.0,1.8,0.1,2.5
2025-11-24 11:19:50,60,64.6,14.6,1.8,0.1,2.5
2025-11-24 11:20:50,60,64.5,17.1,1.8,0.2,2.5
2025-11-24 11:21:50,60,64.5,18.6,1.9,0.2,2.5
2025-11-24 11:22:50,60,64.6,14.1,1.9,0.1,2.5
2025-11-24 11:23:50,60,64.9,13.8,1.9,0.1,2.5
2025-11-24 11:24:50,60,64.9,11.1,1.9,0.1,2.5
2025-11-24 11:25:50,60,64.8,13.5,2.0,0.1,2.5
2025-11-24 11:26:50,60,64.5,14.1,2.0,0.1,2.5
2025-11-24 11:27:50,60,64.6,17.0,2.0,0.1,2.5
2025-11-24 11:28:50,60,64.5,18.7,2.1,0.1,2.5
2025-11-24 11:29:50,60,64.5,19.0,2.1,0.1,2.5
2025-11-24 11:30:50,60,64.6,18.1,2.1,0.2,2.5
2025-11-24 11:31:50,60,64.7,15.3,2.1,0.2,2.5
2025-11-24 11:32:50,60,64.8,12.6,2.2,0.1,2.5
2025-11-24 11:33:50,60,64.7,15.8,2.2,0.1,2.5
2025-11-24 11:34:50,60,64.8,11.7,2.3,0.1,2.5
2025-11-24 11:35:50,60,64.7,14.0,2.3,0.1,2.5
2025-11-24 11:36:50,60,64.7,11.2,2.4,0.1,2.5
2025-11-24 11:37:50,60,64.8,10.5,2.4,0.1,2.5
2025-11-24 11:38:50,60,64.9,9.6,2.5,0.1,2.5
2025-11-24 11:39:50,60,64.7,7.8,2.6,0.1,2.5
2025-11-24 11:40:50,60,64.8,9.5,2.6,0.1,2.5
2025-11-24 11:41:50,60,64.5,12.0,2.7,0.1,2.5
2025-11-24 11:42:50,60,64.5,14.7,2.7,0.2,2.5
2025-11-24 11:43:50,60,64.5,15.2,2.8,0.2,2.5
2025-11-24 11:44:50,60,64.4,17.0,2.8,0.2,2.5
2025-11-24 11:45:50,60,64.5,16.1,2.9,0.2,2.5
2025-11-24 11:46:50,60,64.6,18.6,3.0,0.2,2.5
2025-11-24 11:47:50,60,64.6,17.5,3.1,0.2,2.5
2025-11-24 11:48:50,60,64.6,16.0,3.1,0.2,2.5
2025-11-24 11:49:50,60,64.8,12.7,3.2,0.1,2.5
2025-11-24 11:50:50,60,64.8,12.0,3.3,0.1,2.5
2025-11-24 11:51:50,60,64.8,11.7,3.3,0.1,2.5
2025-11-24 11:52:50,60,64.7,10.5,3.4,0.1,2.5
2025-11-24 11:53:50,60,64.7,12.2,3.4,0.1,2.5
2025-11-24 11:54:50,60,64.6,12.0,3.5,0.1,2.5
2025-11-24 11:55:50,60,64.6,13.5,3.6,0.1,2.5
2025-11-24 11:56:50,60,64.6,11.5,3.6,0.1,2.5
2025-11-24 11:57:50,60,64.6,12.1,3.7,0.1,2.5
2025-11-24 11:58:50,60,64.6,12.0,3.8,0.1,2.5
2025-11-24 11:59:50,60,64.6,13.0,3.8,0.2,2.5
2025-11-24 12:00:50,60,64.7,12.3,3.9,0.1,2.5
2025-11-24 12:01:50,60,64.6,10.3,4.0,0.2,2.5
2025-11-24 12:02:50,60,64.8,8.0,4.0,0.1,2.5
2025-11-24 12:03:50,60,64.8,6.5,4.1,0.1,2.5
2025-11-24 12:04:50,60,64.9,6.1,4.2,0.1,2.5
2025-11-24 12:05:50,60,64.7,6.6,4.3,0.1,2.5
2025-11-24 12:06:50,60,64.6,8.0,4.3,0.1,2.5
2025-11-24 12:07:50,60,64.4,11.1,4.4,0.1,2.5
2025-11-24 12:08:50,60,64.3,13.0,4.5,0.1,2.5
2025-11-24 12:09:50,60,64.4,14.8,4.6,0.2,2.5
2025-11-24 12:10:50,60,64.4,15.7,4.6,0.2,2.5
2025-11-24 12:11:50,60,64.6,14.2,4.7,0.2,2.5
2025-11-24 12:12:50,60,64.6,15.2,4.8,0.1,2.5
2025-11-24 12:13:50,60,64.6,13.2,4.9,0.1,2.5
2025-11-24 12:14:50,60,64.7,11.1,5.0,0.1,2.5
2025-11-24 12:15:50,60,64.9,12.1,5.0,0.1,2.5
2025-11-24 12:16:50,60,64.5,12.0,5.1,0.1,2.5
2025-11-24 12:17:50,60,64.5,17.3,5.2,0.2,2.5
2025-11-24 12:18:50,60,64.5,17.5,5.3,0.2,2.5
2025-11-24 12:19:50,60,64.5,16.3,5.4,0.2,2.5
2025-11-24 12:20:50,60,64.6,13.2,5.5,0.1,2.5
2025-11-24 12:21:50,60,64.8,13.5,5.6,0.1,2.5
2025-11-24 12:22:50,60,64.8,11.2,5.7,0.1,2.5
2025-11-24 12:23:50,60,64.8,11.6,5.8,0.1,2.5
2025-11-24 12:24:50,60,64.7,13.5,5.9,0.1,2.5
2025-11-24 12:25:50,60,64.5,12.1,6.1,0.1,2.5
2025-11-24 12:26:50,60,64.5,16.0,6.2,0.1,2.5
2025-11-24 12:27:50,60,64.5,13.7,6.2,0.2,2.5
2025-11-24 12:28:50,60,64.6,17.3,6.3,0.2,2.5
2025-11-24 12:29:50,60,64.5,16.5,6.4,0.2,2.5
2025-11-24 12:30:50,60,64.6,17.1,6.5,0.2,2.5
2025-11-24 12:31:50,60,64.6,13.1,6.6,0.1,2.5
2025-11-24 12:32:50,60,64.8,11.0,6.7,0.1,2.5
2025-11-24 12:33:50,60,64.8,6.5,6.7,0.1,2.5
2025-11-24 12:34:50,60,64.9,5.3,6.8,0.0,2.5
2025-11-24 12:35:50,60,64.8,4.1,6.9,0.0,2.5
2025-11-24 12:36:50,60,64.8,4.1,7.0,0.1,2.5
2025-11-24 12:37:50,60,64.6,4.6,7.1,0.1,2.5
2025-11-24 12:38:50,60,64.6,5.5,7.2,0.1,2.5
2025-11-24 12:39:50,60,64.5,5.7,7.2,0.1,2.5
2025-11-24 12:40:50,60,64.5,6.1,7.3,0.1,2.5
2025-11-24 12:41:50,60,64.5,6.3,7.4,0.1,2.5
2025-11-24 12:42:50,60,64.6,6.3,7.5,0.1,2.5
2025-11-24 12:43:50,60,64.5,6.0,7.6,0.1,2.5
2025-11-24 12:44:50,60,64.7,5.5,7.7,0.1,2.5
2025-11-24 12:45:50,60,64.7,5.1,7.7,0.1,2.5
2025-11-24 12:46:50,60,64.7,5.0,7.8,0.1,2.5
2025-11-24 12:47:50,60,64.7,6.0,7.9,0.1,2.5
2025-11-24 12:48:50,60,64.5,6.2,7.9,0.1,2.5
2025-11-24 12:49:50,60,64.8,5.6,8.0,0.1,2.5
2025-11-24 12:50:50,60,64.7,5.2,8.1,0.0,2.5
2025-11-24 12:51:50,60,64.8,4.5,8.2,0.1,2.5
2025-11-24 12:52:50,60,64.8,6.0,8.3,0.1,2.5
2025-11-24 12:53:50,60,65.0,5.7,8.3,0.1,2.5
2025-11-24 12:54:50,60,65.0,7.6,8.4,0.1,2.5
2025-11-24 12:55:50,60,65.1,6.7,8.5,0.1,2.5
2025-11-24 12:56:50,60,65.4,6.8,8.6,0.1,2.5
2025-11-24 12:57:50,60,65.6,6.0,8.7,0.1,2.5
2025-11-24 12:58:50,60,65.9,5.0,8.8,0.1,2.5
2025-11-24 12:59:50,60,66.2,0.0,8.9,0.1,2.5
2025-11-24 13:00:50,60,66.4,0.0,9.0,0.1,2.5
2025-11-24 13:01:50,60,66.4,0.0,9.1,0.1,2.5
2025-11-24 13:02:50,60,66.2,0.0,9.2,0.1,2.5
2025-11-24 13:03:50,60,66.1,0.0,9.3,0.1,2.5
2025-11-24 13:04:50,60,65.9,0.0,9.4,0.0,2.5
2025-11-24 13:05:50,60,66.0,0.0,9.5,0.1,2.5
2025-11-24 13:06:50,60,66.0,0.0,9.6,0.1,2.5
2025-11-24 13:07:50,60,65.9,0.0,9.7,0.1,2.5
2025-11-24 13:08:50,60,65.9,0.0,9.7,0.1,2.5
2025-11-24 13:09:50,60,65.7,0.0,9.8,0.0,2.5
2025-11-24 13:10:50,60,65.7,0.0,9.9,0.1,2.5
2025-11-24 13:11:50,60,65.2,0.0,10.0,0.0,2.5
